# TARGET/POLICY rows sourced from strategy/strategic-plan.md must be kept in sync if that document's own figures are ever revised.
# REFERENCE rows are third-party vendor-published facts, not business decisions -- their linked pair is the dated snapshot named in their source field (e.g. reference/homeworks-pricing-2026-07-31.md), not a strategy document. Re-verify them per that source's *-UPDATE.md procedure, never by editing them to match a remembered figure.
assumption_id,category,label,value,unit,effective_date,end_date,trigger_condition,status,source
peak_revenue_target,revenue_target,Peak monthly revenue target,10000.00,$,,,,TARGET,CONTEXT.md Section 3
cash_buffer_reserve,cash_buffer,Operating reserve floor,4000.00,$,,,,POLICY,strategy/execution-timeline.md Cash Buffer Policy
cash_buffer_truck_hedge,cash_buffer,Truck hedge,2000.00,$,,,,POLICY,strategy/execution-timeline.md Cash Buffer Policy
cash_starting_balance,cash_buffer,Verified starting cash,1225.33,$,2026-07-06,,,ACTUAL,HISTORY.md H-039
konji_hourly_rate,labor_cost,Konji base hourly rate (current),20.00,$/hr,,,,CONTRACTED,"HISTORY.md H-048 -- current, real, per payroll. Reference only, not consumed by the trajectory calc (see build_model.py comment); the calc's crew-labor line uses the recent-trend average instead (Decision 3)."
konji_hourly_rate,labor_cost,Konji base hourly rate (negotiated),25.00,$/hr,,2027-05-31,,CONTRACTED,"HISTORY.md H-048 / CONTEXT.md D4 -- rate not yet run in any payroll period as of the exports; effective_date deliberately left blank rather than guessed (Decision 8, CONTEXT.md Follow-Up #21). Reference only, dormant until a real date is filled in at the next payroll refresh."
konji_hourly_rate,labor_cost,Konji base hourly rate (post-phase-switch),25.00,$/hr,2027-06-01,,,CONTRACTED,CONTEXT.md D4
konji_revenue_share_pct,labor_cost,Konji revenue share on jobs he leads,6.00,%,2026-09-01,2027-05-31,,CONTRACTED,CONTEXT.md D3/D4
crew_canvassing_rate,labor_cost,"Crew canvassing hourly rate -- general crew policy, not Konji-specific; applies to anyone doing canvassing work (Konji, Anais)",15.00,$/hr,,2027-05-31,,CONTRACTED,"strategy/strategic-plan.md Section 4; generalized from the former Konji-specific konji_canvassing_rate row, HISTORY.md H-057 (owner-confirmed 2026-07-10, resolving CONTEXT.md Follow-Up #11's canvassing-rate portion). end_date carried over unchanged from the original Konji-specific row -- tied to D4's crew-lead phase-switch boundary, NOT independently re-confirmed for a policy now stated as general; revisit if Konji's own arrangement changes before 2027-05-31."
crew_canvassing_bonus_fall,labor_cost,"Crew per-fall-client-signed bonus -- general crew policy (same generalization as crew_canvassing_rate)",15.00,$/client,,2027-05-31,,CONTRACTED,strategy/strategic-plan.md Section 4
